name,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
label,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
"(2S,3R)-2,3-Dihydroxy-5-oxohexanedioate",278140.3554,550411.2648,463124.933,273529.7147,307464.9788,226739.5298,186024.5418,266790.9535,297882.954,374935.962,276663.3326,311703.8864,324430.863,411225.4629,366834.1659,354779.7992,398517.6124,310394.0427,320952.7663,407041.1325,400501.3114,298955.553,485804.2895,242433.9988,527598.5242,383370.5153,278636.3581,298514.8484,268065.025,349260.1384,273261.6357,411745.4517,351719.9929,271254.3368,281360.4048,415727.0209,2927.183625,356490.7324,463339.5895,295726.1771,267723.2725,352601.3671,420241.2808,163351.2118,310635.4473,269872.5791,204494.6147,340719.884,274214.3702,400603.8422,4703568.216,4482385.308,4969001.499,4296033.939,5294387.947,4752413.373,4211915.335,4750117.083,4535027.795,5102203.546,4379298.142,5143704.203,4946186.433,4265128.313,4205021.508,4960265.585,5530606.534,4520993.757,5259435.802,4624912.835,4961521.418,5430596.586,4939561.866,5312541.455,5242440.596,4232724.111,5120052.627,4719592.36,4428675.84,5181766.802,4826111.769,5404038.477,5035492.28,4643887.658,4725379.177,5174283.52,4995852.976,3823338.771,5276421.595,4936410.479,4534865.118,5823125.082,5407888.296,4815592.411,5065986.919,4961159.758,5048250.365,4802425.478,5324094.974,4894383.845
"(2S,3S)-2-Hydroxytridecane-1,2,3-tricarboxylate",970.7287753,1690.872109,30110.04854,1881.547926,987.9704094,6477.713693,4562.291545,12166.04327,2209.919214,1984.894376,5273.921467,73385.75575,2828.394038,21632.56167,1768.0725,265252.1795,4241.953038,323.0195486,63058.72827,14255.33824,1491.542677,136640.5561,157331.5017,13318.148,16531.44725,1933.704753,3455.1,10395.77,32418.38918,6588.044444,972.259096,4409.45225,84539.30961,1851.28749,51555.64633,68666.64731,1448.277956,31514.91458,4822.166271,1857.519732,3852.316,1364.782219,41754.5,5888.992856,38636.42797,6926.82375,5443.77375,2381.40705,112489.5609,3429.701185,1146538.977,8719009.196,12649975.8,14618840.45,18258.53533,12220320.58,12616702.96,7103335.983,4272.192453,3337.912176,14836800.81,76219.70112,11839139.11,5731489.079,3596.575367,6905365.267,6276686.922,7733307.847,17509.20875,9743530.412,6773225.895,16249515.92,11049910.12,10076675.14,10750356.7,6737437.896,2617978,10470677.94,8582981.344,7139258.672,3385612.091,13906526.34,12340040.96,2977.167075,10488.49455,2914.819686,12197450.7,5077308.391,8996229.91,331045.5607,9583615.949,9991.307926,5777552.889,83113.41197,5545585.495,5440.784731,40790.28538,2980.151922,54329.36222,17849.1138
(3Z)-Phytochromobilin,92462.459,115783.1675,35259.10707,182220.6716,162511.4358,105503.3189,513679.635,183345.3548,97884.35523,50987.68491,91388.78244,126136.0457,32781.83908,197915.8734,120021.5113,41617.17182,490692.3303,10866.8755,73981.85717,163688.2488,25319.70878,70642.30974,52916.38359,73751.14261,68120.10273,236704.4474,83882.2899,86995.63482,101061.8005,188251.8241,58806.2475,174289.656,47593.60913,41958.42255,80502.13761,72356.13236,156349.359,80905.80432,47222.19991,107657.5292,118793.0593,186224.6985,27299.16545,44189.42742,103641.0175,103970.7539,87764.80248,86094.06522,41946.0362,182707.1285,299890.6208,71033.73423,110342.2883,24662.0088,62472.55352,60934.92875,23340.93989,41332.08127,23564.25856,46019.16625,40630.10286,78175.00537,16316.19145,70177.87636,24811.05841,28683.70263,115332.7246,23172.69006,362909.0165,17873.91717,88606.65834,74882.59943,15007.27332,389654.8378,61438.99574,169785.0565,69552.40439,84209.50931,55182.50815,28151.05475,42029.16434,30749.61676,104147.419,100776.8466,283242.2567,324054.9278,75054.78098,74718.91166,262922.8688,258006.2925,78815.81161,125623.1718,126209.0643,43322.08833,58234.95098,132225.7357,98425.73354,188657.8633,193176.6188,100830.2436
(3Z)-Phytochromobilin1,9119.768167,18184.50817,2703.457459,18250.743,9198.782239,4979.498333,6873.558068,13844.97344,3061.663231,3809.77903,9941.834833,3272.177861,2866.690329,5488.282397,4974.620925,8677.963362,7156.6882,408.0056434,3120.843586,3211.491645,1829.555404,3057.704608,4281.89725,18213.44424,5447.175912,16467.46584,7637.231539,2218.461768,4339.832325,3533.364818,5965.814834,5246.602346,3310.024875,2228.433778,6918.393052,2613.672778,10878.56651,3313.197588,3305.435538,1766.282031,13009.32261,4094.177375,4047.578365,3469.752167,1650.481625,6699.436085,5885.209684,3885.461468,4290.625816,21050.61758,7109.695511,10360.02756,6382.357966,3954.852,8898.784364,15549.65937,19266.73417,4933.963404,11073.521,5024.75425,11807.5472,8692.631567,4005.851165,3574.99228,5718.838458,319.7824821,1871.772087,5520.4296,20407.67439,43419.6889,14442.09912,11503.86971,11190.39167,12855.98139,18949.55826,12582.68472,6440.401361,836.8535671,32886.33869,3943.077273,134834.5146,1023.296272,4163.043907,7178.684841,46530.65878,15686.80492,131851.3961,9139.626133,1476.149165,118659.0721,18479.99475,2123.691773,6356.903346,75417.6255,5622.4365,4608.738785,5852.202243,7563.352821,9345.465157,3330.30528
"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate",278140.3554,550411.2648,463124.933,273529.7147,307464.9788,226739.5298,186024.5418,266790.9535,297882.954,374935.962,276663.3326,311703.8864,324430.863,411225.4629,366834.1659,354779.7992,398517.6124,310394.0427,320952.7663,407041.1325,400501.3114,298955.553,485804.2895,242433.9988,527598.5242,383370.5153,278636.3581,298514.8484,268065.025,349260.1384,273261.6357,411745.4517,351719.9929,271254.3368,281360.4048,415727.0209,2927.183625,356490.7324,463339.5895,295726.1771,267723.2725,352601.3671,420241.2808,163351.2118,310635.4473,269872.5791,204494.6147,340719.884,274214.3702,400603.8422,4703568.216,4482385.308,4969001.499,4296033.939,5294387.947,4752413.373,4211915.335,4750117.083,4535027.795,5102203.546,4379298.142,5143704.203,4946186.433,4265128.313,4205021.508,4960265.585,5530606.534,4520993.757,5259435.802,4624912.835,4961521.418,5430596.586,4939561.866,5312541.455,5242440.596,4232724.111,5120052.627,4719592.36,4428675.84,5181766.802,4826111.769,5404038.477,5035492.28,4643887.658,4725379.177,5174283.52,4995852.976,3823338.771,5276421.595,4936410.479,4534865.118,5823125.082,5407888.296,4815592.411,5065986.919,4961159.758,5048250.365,4802425.478,5324094.974,4894383.845
"(6Z,9Z,12Z)-Octadecatrienoic acid",6964.919,22283.92354,4778.3904,13278.05221,14467.85654,9170.737412,4926.7515,14352.79248,1,11737.14,3445.6065,8941.799826,1,7409.112115,5799.04785,6120.653,15589.16757,7568.629636,1,5953.365385,5579.478154,1,10757.76,1,4917.8324,5127.551,9029.8215,1,8192.063187,3738.685889,4383.506667,6140.285579,8406.397321,3060.542708,1,4596.4895,5018.214923,6809.867429,1,4753.76,3452.211,10093.35962,7853.726063,9244.276786,1,5865.48,3183.786154,6815.99875,1,8515.952571,12675.54626,1,10067.2736,25052.93328,13568.27604,10741.43622,11505.86565,11642.79916,2229.129281,1,14868.23791,15508.18359,17043.3599,1,13147.87464,1,4774.567455,10060.778,4165.313,8143.11,1,11946.8259,5088.149867,1,8426.485823,1,9725.545556,10831.54225,1,14161.65548,6249.5715,9521.979867,7220.5085,1,8238.534857,1,9804.002333,13259.11001,5295.444,1,10519.13558,22600.36078,1,5502.702273,1,6122.018667,14688.5275,7661.963875,8415.910385,1
12-Methyltridecanoic acid,28940.07538,56308.51448,70464.8215,65671.11027,46963.80596,24830.98679,30326.67554,28457.897,17335.02021,33472.25402,29368.15921,29894.10838,13058.775,49032.4806,92395.03459,19646.97768,25225.85219,13592.13703,19724.60571,22470.09136,16268.90185,13440.4598,11440.58754,8392.027893,25407.58167,22877.96536,22551.1645,23143.7985,224356.378,20885.22057,13112.65704,52921.89732,23672.20029,25821.54991,18796.86795,21882.96371,25083.31331,15687.39,31381.55789,11880.56716,15929.40585,34623.51793,22947.21386,14548.36066,23167.53118,26657.67857,16687.78581,9243.1265,10113.4519,14631.60168,65360.51471,17703.40587,60801.85685,91359.37912,18624.7424,77432.98319,29880.10893,17547.93718,10147.46288,12511.60543,17627.03443,18311.8581,16674.29107,41486.10902,19827.64335,38476.96561,54072.11277,15790.67379,10380.99281,23525.87902,13686.20612,19587.613,27270.5943,23441.71013,53577.29607,19506.3339,22800.89018,13544.6553,11104.95809,14973.09006,16562.44943,13803.8069,22619.30629,8373.043891,10721.33747,18805.85823,27563.39237,28522.30381,28409.35007,6867.160761,21723.76779,9828.24761,13775.96148,21003.014,9027.619929,19632.14261,26650.27607,18968.03469,20447.94359,25565.36595
13(S)-HODE,7637.733952,13035.98189,8511.674258,13171.3875,11539.68448,11903.80457,8967.402667,9668.983333,5325.58544,8849.1942,8014.428259,9169.677399,7532.569,7615.936812,7330.069667,11220.13932,20036.26744,7536.201,4952.366037,8422.103875,5548.997506,4370.188306,7418.238667,2543.411,8764.208654,6099.452146,15149.95704,7751.277534,13632.502,5168.911667,8074.042667,9463.54304,6410.69088,5889.661522,6936.98645,7482.701429,12544.5956,7170.304973,7788.956359,3863.287397,7958.22592,13414.90513,11080.95098,10890.71458,6176.452904,7015.932,4044.643949,7612.935364,6294.610836,10032.42907,28325.75275,9527.397,10286.56404,16929.59722,6058.556944,10147.93152,14505.61538,6161.714463,1625.380652,5928.0775,12188.36804,16267.4607,10021.74576,11811.83988,17622.27994,6523.241084,5745.372,9139.85672,3801.375,9656.967278,6324.980077,12293.19798,5285.672596,18673.2615,12494.42392,5888.661827,9853.165385,10338.3144,4470.599063,19367.16435,6612.581437,9786.65814,9504.044407,2414.444781,9461.288138,8443.003563,9927.096481,13051.91685,10080.87415,5561.8092,15636.895,40550.87482,4116.299936,10639.03481,10025.03042,6366.755367,28041.328,8215.019218,13068.15912,8620.6189
"15,16-Dihydrobiliverdin",92462.459,115783.1675,35259.10707,182220.6716,162511.4358,105503.3189,513679.635,183345.3548,97884.35523,50987.68491,91388.78244,126136.0457,32781.83908,197915.8734,120021.5113,41617.17182,490692.3303,10866.8755,73981.85717,163688.2488,25319.70878,70642.30974,52916.38359,73751.14261,68120.10273,236704.4474,83882.2899,86995.63482,101061.8005,188251.8241,58806.2475,174289.656,47593.60913,41958.42255,80502.13761,72356.13236,156349.359,80905.80432,47222.19991,107657.5292,118793.0593,186224.6985,27299.16545,44189.42742,103641.0175,103970.7539,87764.80248,86094.06522,41946.0362,182707.1285,299890.6208,71033.73423,110342.2883,24662.0088,62472.55352,60934.92875,23340.93989,41332.08127,23564.25856,46019.16625,40630.10286,78175.00537,16316.19145,70177.87636,24811.05841,28683.70263,115332.7246,23172.69006,362909.0165,17873.91717,88606.65834,74882.59943,15007.27332,389654.8378,61438.99574,169785.0565,69552.40439,84209.50931,55182.50815,28151.05475,42029.16434,30749.61676,104147.419,100776.8466,283242.2567,324054.9278,75054.78098,74718.91166,262922.8688,258006.2925,78815.81161,125623.1718,126209.0643,43322.08833,58234.95098,132225.7357,98425.73354,188657.8633,193176.6188,100830.2436
