dBLUE,dDVI,dEVI,dGREEN,dLSWI,dNBR,dNBR2,dNBR_,dNDRE1,dNDSI,dNDVI,dNDWI,dNIR,dPEP,dRDFI,dRED,dRED1,dRED2,dRED3,dRED4,dRVI,dSAVI,dSWIR1,dSWIR2,Landcover
-218.5,2936,1.608599201,-73.5,0.085023262,1.290671472,0.832316234,-1.017407298,0.553261226,0.570070113,0.7396106,-0.5520166,2670.5,-7.216076696,3.213651044,-265.5,154,1880,2469,2722,-6.427302087,1.109341374,-413,-1605.5,1
-181.5,2361.5,1.52822974,-47,0.034443227,1.193887752,0.780777698,-0.957223959,0.518086056,0.50509214,0.6925936,-0.471534979,2076.5,-5.98859714,-3.092320848,-285,106.5,1584.5,2063,2255.5,6.184641695,1.038784262,-542.5,-1519.5,1
-233,1824.5,1.466951482,-134.5,0.055142257,1.197282346,0.780789379,-0.941410325,0.561165445,0.552640944,0.72632545,-0.523725277,1514,-6.53054815,-3.088946992,-310.5,-64.5,1107.5,1437,1654,6.177893984,1.089309456,-624,-1390,1
-203.5,3230.5,1.328700992,108,0.04266756,1.192933513,0.831871571,-0.929731822,0.47557432,0.464814784,0.6719305,-0.444425831,3066.5,-5.999791272,1.221243516,-164,446.5,2379.5,3001.5,3083,-2.442487032,1.00787028,-153.5,-1092.5,1
-174,2408,1.389418528,22.5,0.052638333,1.220667328,0.801272578,-0.947815252,0.44969472,0.486956522,0.67638534,-0.466240974,2231.5,-6.592226107,0.318863494,-176.5,302,1687,2183,2191.5,-0.637726989,1.014542187,-246,-1063.5,1
-253,2621.5,1.559990704,-131,0.094324928,1.156603763,0.759986232,-0.893554629,0.523692842,0.505628443,0.7094939,-0.507886632,2250,-6.031851496,-5.681428227,-371.5,-14.5,1544,2015.5,2312.5,11.36285645,1.064130609,-580.5,-1685.5,1
-310.5,2490,1.708710734,-212.5,0.075531513,1.218184614,0.841414549,-0.944964447,0.55321631,0.572048673,0.767029,-0.554738513,2011,-7.301553211,6.723744779,-479,-108.5,1401.5,1901,2197.5,-13.44748956,1.15038651,-807.5,-1868,1
-406.5,1831,1.485138505,-318.5,0.065890756,1.103182968,0.745491161,-0.803949302,0.495939725,0.562900138,0.72495717,-0.558056656,1287.5,-7.260489787,0.072971044,-543.5,-243,900.5,1263.5,1401,-0.145942088,1.087225742,-967,-2022,1
-210,2366,1.668721769,-92.5,0.040559048,1.219092659,0.810766406,-0.958855822,0.550333948,0.5648155,0.74311894,-0.530869904,2054.5,-6.385521083,-0.004625081,-311.5,72,1569.5,1964,2220.5,0.009250161,1.114545621,-463.5,-1426.5,1
-185.5,1919,1.545308973,-14.5,0.014659843,1.265250971,0.834843763,-0.982974342,0.507157573,0.562261078,0.73311836,-0.521152849,1706,-6.614129801,0.156439578,-213,173.5,1368.5,1614,1746.5,-0.312879156,1.099510511,-484,-1336,1
-185,1945.5,1.556675354,-37,0.033587839,1.204225361,0.807279007,-0.95843103,0.499871347,0.471035472,0.6994683,-0.450687018,1661.5,-5.295755212,0.948396815,-284,61,1312.5,1535,1740,-1.896793631,1.049051932,-644,-1472.5,1
-290,2042.5,1.485379264,-205.5,0.084281821,1.124748644,0.737331404,-0.85844828,0.502671172,0.521621458,0.7073239,-0.51912315,1615.5,-6.567932554,-3.345489113,-427,-134.5,1090.5,1488.5,1715.5,6.690978226,1.060819374,-792,-1759,1
-251,2213,1.265080887,-128.5,-0.020831961,0.884194207,0.570440752,-0.70266267,0.450183233,0.444400839,0.56622815,-0.375434423,1801,-4.953151279,0.027288239,-412,-25.5,1472,1879.5,2176.5,-0.054576479,0.849252086,-622.5,-1547.5,1
-164,2945.5,1.528366331,25,-0.019255604,1.191592032,0.783674884,-0.964480434,0.475203321,0.53361586,0.6866384,-0.457171897,2724.5,-4.951809754,1.672393177,-221,426,2223,2589.5,2909.5,-3.344786355,1.029909478,-300,-1198.5,1
-320.5,2902,1.779638113,-222.5,0.076361311,1.2453123,0.848445625,-0.957612739,0.604735596,0.59969775,0.78478944,-0.581141439,2410,-7.662255286,0.036892214,-492,-126,1709.5,2334.5,2602,-0.073784429,1.17704636,-798.5,-1976,1
-115.5,1839.5,1.46424268,12,0.026763482,1.135869974,0.745170833,-0.89916741,0.472032663,0.479701881,0.6878997,-0.44843349,1683.5,-5.393079503,-5.00550573,-156,207.5,1343.5,1627.5,1789.5,10.01101146,1.031744256,-162,-762,1
-112.5,1421.5,1.462259351,-13,0.040874523,1.261093098,0.795383701,-1.013847179,0.520302622,0.512133876,0.7158016,-0.487443115,1291.5,-5.869516302,-0.388111111,-130,128.5,1020,1248,1365,0.776222222,1.073549763,-280.5,-827,1
-119,2722,1.497652359,124,0.076229208,1.358190664,0.873763108,-1.09469262,0.521979924,0.548689048,0.7489811,-0.534745745,2675.5,-7.553901246,0.613442665,-46.5,426,1934,2429.5,2658,-1.226885329,1.123444916,103,-838.5,1
-155,1361,1.490736864,-96,0.039984317,1.240399278,0.804247,-0.990237791,0.494691883,0.551204554,0.7205019,-0.528226803,1147,-6.075047542,0.004229353,-214,51.5,918.5,1172.5,1289.5,-0.008458707,1.080530968,-539.5,-1123.5,1
-196.5,4042.5,1.580717097,88.5,0.055940533,1.271415916,0.864237987,-0.993301609,0.553003315,0.551021741,0.745998,-0.524606938,3873,-7.453845604,14.71589254,-169.5,491,2947,3808.5,3985,-29.43178509,1.118988683,127.5,-972.5,1
-128,2159.5,1.340811881,77.5,0.002927133,1.176508564,0.761745528,-0.93796133,0.467021455,0.435241871,0.64148635,-0.389896249,2025.5,-5.2116877,-0.10999596,-134,278.5,1647,1959.5,2046.5,0.219991919,0.962189834,-332.5,-932.5,1
-159,3632,1.644816286,125,0.071498338,1.284202973,0.866110179,-1.005500491,0.516651797,0.522401479,0.75137264,-0.507548165,3476,-6.074106783,-3.457541052,-156,488.5,2549.5,3100,3467,6.915082104,1.127035422,41.5,-959.5,1
-149,2235.5,1.330617446,103.5,0.043024497,1.188762454,0.798709066,-0.928593313,0.443914404,0.478332422,0.69781876,-0.467895294,2132.5,-5.981765429,34.60634265,-103,403.5,1687.5,2030.5,2187,-69.21268529,1.046627772,-10.5,-900.5,1
-126,2013,1.382029813,92,0.032181346,1.283369118,0.852054505,-1.012274953,0.502590265,0.521360229,0.7154291,-0.501113867,1937.5,-6.483782166,0.412410284,-75.5,334.5,1572,1859,1991,-0.824820569,1.073055862,-77,-855.5,1
-121.5,1808.5,1.372797035,80.5,0.027547664,1.244929508,0.810351401,-0.998060653,0.45487718,0.476409283,0.69972944,-0.464989239,1713,-6.10100683,-0.004926272,-95.5,321.5,1450,1719.5,1859.5,0.009852543,1.049473459,-140.5,-928.5,1
-126,1237,1.348373036,-18.5,0.02947153,1.263957999,0.831042945,-1.011427291,0.504103762,0.494896713,0.6986779,-0.464919213,1094,-6.202313009,0.104977202,-143,84,867,1089.5,1111.5,-0.209954405,1.047810379,-390.5,-908,1
-161.5,1887,1.35037064,1,0.053721078,1.292089897,0.840141574,-1.023929253,0.476399823,0.531159797,0.71200794,-0.522801025,1751,-6.475753381,0.104425366,-136,240,1392.5,1681.5,1742,-0.208850731,1.067911835,-338,-1046.5,1
-114.5,2769,1.422703857,131,0.05266743,1.295010046,0.840461496,-1.047838275,0.528277767,0.504245493,0.69916385,-0.481153099,2720.5,-7.246914702,0.011938358,-48.5,419,2063.5,2577,2765.5,-0.023876717,1.048781652,158,-740.5,1
-132.5,2573,1.519266043,109.5,0.046223111,1.195823181,0.823924949,-0.919262445,0.491046658,0.486559869,0.71379703,-0.470531741,2444,-6.181525851,5.935154255,-129,364,1893,2292,2366.5,-11.87030851,1.070626257,-44,-832,1
-128.5,2225.5,1.386817038,96.5,0.005679959,1.258080781,0.83810815,-0.974707794,0.503139603,0.559244177,0.7103033,-0.523424368,2155.5,-6.666083231,-0.037914284,-70,406.5,1842.5,2133.5,2210.5,0.075828567,1.065381798,-19,-827,1
-103,2163.5,1.493632786,99.5,0.024609846,1.138845913,0.737155469,-0.897317066,0.434278993,0.420437624,0.66255146,-0.40438419,2009,-4.375238869,3.761587377,-154.5,327,1660,1910,2039,-7.523174753,0.993742142,-233.5,-997,1
-80.5,2351.5,1.677747748,89,0.038599522,1.178489277,0.806226824,-0.916062886,0.482058326,0.438032479,0.68802184,-0.419815443,2172.5,-4.141691231,0.256406052,-179,242.5,1684.5,1947,2136,-0.512812104,1.031948076,-286.5,-999.5,1
