,PM_US Post
23,129.0
24,148.0
25,159.0
26,181.0
27,138.0
28,109.0
29,105.0
30,124.0
31,120.0
32,132.0
33,140.0
34,152.0
35,148.0
36,164.0
37,158.0
38,154.0
39,159.0
40,164.0
41,170.0
42,149.0
43,154.0
44,164.0
45,156.0
46,126.0
47,90.0
48,63.0
49,65.0
50,55.0
51,65.0
52,83.0
53,91.0
54,86.0
55,82.0
56,86.0
57,78.0
58,98.0
59,107.0
60,90.0
61,96.0
62,95.0
63,86.0
64,70.0
65,61.0
66,53.0
67,71.0
68,72.0
69,76.0
70,73.0
71,79.0
72,58.0
73,25.0
74,26.0
75,28.0
76,26.0
77,20.0
78,29.0
79,26.0
80,27.0
81,27.0
82,25.0
83,29.0
84,32.0
85,28.0
86,29.0
87,30.0
88,30.0
89,28.0
90,26.0
91,31.0
92,33.0
93,29.0
94,31.0
95,30.0
96,34.0
97,27.0
98,25.0
99,28.0
100,28.0
101,27.0
102,27.0
103,27.0
104,29.0
105,36.0
106,30.0
107,27.0
108,39.0
109,41.0
110,33.0
111,50.0
112,56.0
113,59.0
114,60.0
115,84.0
116,106.0
117,66.0
118,50.0
119,56.0
120,77.0
121,50.0
122,44.0
123,27.0
124,28.0
125,21.0
126,25.0
127,20.0
128,29.0
129,34.0
130,42.0
131,28.0
132,36.0
133,48.0
134,49.0
135,52.0
136,56.0
137,96.0
138,75.0
139,105.0
140,132.0
141,93.0
142,131.0
143,127.0
144,130.0
145,43.0
146,37.0
147,30.0
148,28.0
149,24.0
150,23.0
151,24.0
152,27.0
153,40.0
154,42.0
155,42.0
156,55.0
157,52.0
158,51.0
159,57.0
160,50.0
161,54.0
162,67.0
163,106.0
164,159.0
165,198.0
166,190.0
167,210.0
168,195.0
169,275.0
170,164.0
171,110.0
172,100.0
173,81.0
174,71.0
175,66.0
176,92.0
177,135.0
178,155.0
179,198.0
180,250.0
181,200.0
182,231.0
183,250.0
184,212.0
185,219.0
186,227.0
187,226.0
188,225.0
189,168.0
190,169.0
191,165.0
192,159.0
193,167.0
194,196.0
195,169.0
196,155.0
197,119.0
198,106.0
199,93.0
200,84.0
201,73.0
202,66.0
203,40.0
204,49.0
205,50.0
206,49.0
207,41.0
208,37.0
209,45.0
210,44.0
211,54.0
212,50.0
213,47.0
214,66.0
215,75.0
216,82.0
217,66.0
218,83.0
219,62.0
220,40.0
221,23.0
222,25.0
223,27.0
224,35.0
225,50.0
226,70.0
227,75.0
228,58.0
229,70.0
230,68.0
231,71.0
232,88.0
233,84.0
234,83.0
235,66.0
236,27.0
237,24.0
238,22.0
239,23.0
240,27.0
241,23.0
242,17.0
243,17.0
244,16.0
245,16.0
246,20.0
247,20.0
248,18.0
249,25.0
250,26.0
251,27.0
252,28.0
253,15.0
254,24.0
255,13.0
256,13.0
257,13.0
258,17.0
259,20.0
260,27.0
261,20.0
262,15.0
263,21.0
264,21.0
265,37.0
266,26.0
267,15.0
268,9.0
269,11.0
270,11.0
271,16.0
272,13.0
273,15.0
274,21.0
275,24.0
276,22.0
277,22.0
