date,health,temperature,humidity,light_intensity,soil_temperature,soil_humidity,co2,rain
2021/1/1 1:00,1,0,5,0,6,99,2264,1
2021/1/1 2:00,1,0,5,0,5,98,2332,1
2021/1/1 3:00,1,0,5,0,5,98,2402,1
2021/1/1 4:00,1,0,5,0,5,98,2453,1
2021/1/1 5:00,1,0,5,0,5,98,2506,1
2021/1/1 6:00,1,0,4,0,5,98,2545,1
2021/1/1 7:00,1,0,4.2,0,5,98,2585,1
2021/1/1 8:00,1,0,4,0,5,98,2343,1
2021/1/1 9:00,0,8,5,0,6,99,2325,1
2021/1/1 10:00,1,896,7,0,9,100,2341,1
2021/1/1 11:00,1,2449,10,0,14,100,1935,1
2021/1/1 12:00,1,2587,12,0,16,100,1594,1
2021/1/1 13:00,1,17076,17,0,19,96,1417,1
2021/1/1 14:00,1,31756,29,0,25,81,1390,1
2021/1/1 15:00,1,18752,26,0,23,84,1522,1
2021/1/1 16:00,1,4800,17,0,16,90,1683,1
2021/1/1 17:00,1,0,13,0,13,95,2034,1
2021/1/1 18:00,1,0,11,0,12,97,2255,1
2021/1/1 19:00,1,0,11,0,11,97,2410,1
2021/1/1 20:00,1,0,10,0,10,97,2533,1
2021/1/1 21:00,1,0,9,0,10,97,2656,1
2021/1/1 22:00,1,0,9,0,9,97,2754,1
2021/1/1 23:00,1,0,9,0,9,97,2850,1
2021/1/2 0:00,1,0,8,0,8,97,2921,1
2021/1/2 1:00,1,0,8,0,8,97,2985,1
2021/1/2 2:00,0,0,8,0,8,97,3034,1
2021/1/2 3:00,1,0,7,0,8,97,3089,1
2021/1/2 4:00,1,0,7,0,7,97,3128,1
2021/1/2 5:00,1,0,7,0,7,97,3178,1
2021/1/2 6:00,1,0,7,0,7,97,3192,1
2021/1/2 7:00,1,0,7,0,7,98,3219,1
2021/1/2 8:00,1,0,7,0,7,98,3265,1
2021/1/2 9:00,1,13859,10,0,11,94,3239,1
2021/1/2 10:00,1,20707,18,0,18,87,2924,1
2021/1/2 11:00,1,25724,22,0,22,85,2915,1
2021/1/2 12:00,1,20358,22,0,22,87,2851,1
2021/1/2 13:00,1,24351,24,0,24,85,2943,1
2021/1/2 14:00,1,22129,26,0,24,85,2928,1
2021/1/2 15:00,1,15583,25,0,22,87,2863,1
2021/1/2 16:00,1,0,18,0,18,94,2986,1
2021/1/2 17:00,1,0,15,0,16,96,3184,1
2021/1/2 18:00,1,0,14,0,14,97,3388,1
2021/1/2 19:00,1,0,13,0,14,97,3554,1
2021/1/2 20:00,1,0,13,0,13,97,3703,1
2021/1/2 21:00,1,0,12,0,13,97,3821,1
2021/1/2 22:00,1,0,12,0,12,98,3942,1
2021/1/2 23:00,1,0,12,0,12,98,4030,1
