feature,weight,std
cp,0.06160337552742619,0.01019666326885621
ca,0.048101265822784824,0.016363476311953843
thal,0.025316455696202576,0.0026685887427581284
slope,0.007594936708860777,0.0055976789710639645
oldpeak,0.005063291139240511,0.008605940107329603
trestbps,0.004219409282700459,0.0026685887427581284
sex,0.0016877637130802148,0.006315033564175437
age,0.0016877637130801927,0.004302970053664793
fbs,-0.0008438818565400741,0.0016877637130801482
restecg,-0.0016877637130801703,0.0033755274261603407
chol,-0.004219409282700415,0.003773954392404712
thalach,-0.005907172995780563,0.009472550346263138
exang,-0.00843881856540083,0.0026685887427581284
