日期,时间,开盘,最高,最低,收盘,平均价,成交量,持仓量,当根K线收益率,前5根K线收益率
2023/11/8,21:00:00,3848,3862,3846,3860,3855,273804,3090780,,
2023/11/8,21:30:00,3860,3872,3859,3869,3866,180579,3121869,0.23%,
2023/11/8,22:00:00,3869,3871,3863,3863,3867,94977,3120846,-0.16%,
2023/11/8,22:30:00,3863,3870,3854,3860,3861,144625,3114080,-0.08%,
2023/11/9,9:00:00,3859,3862,3852,3859,3857,132117,3115086,-0.03%,
2023/11/9,9:30:00,3859,3868,3856,3861,3863,105219,3120932,0.05%,0.03%
2023/11/9,10:00:00,3861,3867,3857,3865,3861,90969,3125922,0.10%,-0.10%
2023/11/9,10:45:00,3865,3868,3843,3854,3855,162511,3122987,-0.28%,-0.23%
2023/11/9,11:15:00,3854,3863,3844,3850,3853,192427,3123071,-0.10%,-0.26%
2023/11/9,13:45:00,3850,3862,3844,3862,3853,123614,3123076,0.31%,0.08%
2023/11/9,14:15:00,3862,3880,3856,3863,3868,291845,3128463,0.03%,0.05%
2023/11/9,14:45:00,3863,3864,3849,3857,3856,96444,3114514,-0.16%,-0.21%
2023/11/9,21:00:00,3857,3876,3856,3873,3867,214476,3122089,0.41%,0.49%
2023/11/9,21:30:00,3873,3875,3867,3868,3871,99624,3121884,-0.13%,0.47%
2023/11/9,22:00:00,3868,3882,3865,3878,3877,139746,3126676,0.26%,0.41%
2023/11/9,22:30:00,3878,3880,3866,3874,3873,117409,3110504,-0.10%,0.28%
2023/11/10,9:00:00,3873,3880,3870,3874,3875,128928,3115270,0.00%,0.44%
2023/11/10,9:30:00,3874,3879,3869,3878,3874,86296,3124237,0.10%,0.13%
2023/11/10,10:00:00,3877,3887,3861,3865,3874,201531,3119127,-0.34%,-0.08%
2023/11/10,10:45:00,3865,3879,3864,3876,3872,88139,3121650,0.28%,-0.05%
2023/11/10,11:15:00,3876,3887,3875,3882,3882,154560,3129752,0.15%,0.21%
2023/11/10,13:45:00,3882,3886,3869,3872,3878,118220,3127406,-0.26%,-0.05%
2023/11/10,14:15:00,3871,3880,3867,3876,3874,100135,3119033,0.10%,-0.05%
2023/11/10,14:45:00,3875,3881,3874,3880,3878,76807,3113991,0.10%,0.39%
2023/11/10,21:00:00,3878,3895,3874,3891,3884,244723,3141825,0.28%,0.39%
2023/11/10,21:30:00,3891,3894,3888,3893,3891,66216,3146718,0.05%,0.28%
2023/11/10,22:00:00,3893,3895,3889,3890,3892,66590,3146086,-0.08%,0.46%
2023/11/10,22:30:00,3891,3906,3886,3903,3896,135482,3141326,0.33%,0.70%
2023/11/13,9:00:00,3904,3918,3883,3885,3898,327968,3160687,-0.46%,0.13%
2023/11/13,9:30:00,3885,3889,3867,3872,3876,246358,3146932,-0.33%,-0.49%
2023/11/13,10:00:00,3872,3873,3852,3863,3860,296001,3126150,-0.23%,-0.77%
2023/11/13,10:45:00,3863,3870,3859,3864,3865,126637,3122797,0.03%,-0.67%
2023/11/13,11:15:00,3864,3876,3862,3875,3871,118347,3110561,0.28%,-0.72%
2023/11/13,13:45:00,3875,3887,3870,3872,3880,162006,3104174,-0.08%,-0.33%
2023/11/13,14:15:00,3872,3875,3856,3873,3866,173495,3095917,0.03%,0.03%
2023/11/13,14:45:00,3873,3878,3871,3871,3874,67645,3090584,-0.05%,0.21%
2023/11/13,21:00:00,3871,3879,3862,3865,3872,241313,3137127,-0.15%,0.03%
2023/11/13,21:30:00,3865,3868,3842,3854,3852,230375,3130998,-0.28%,-0.54%
2023/11/13,22:00:00,3853,3859,3846,3848,3852,97875,3131103,-0.16%,-0.62%
2023/11/13,22:30:00,3848,3857,3847,3855,3853,71297,3121948,0.18%,-0.46%
2023/11/14,9:00:00,3856,3869,3856,3864,3865,142626,3127043,0.23%,-0.18%
2023/11/14,9:30:00,3864,3865,3852,3856,3859,88642,3130655,-0.21%,-0.23%
2023/11/14,10:00:00,3857,3859,3844,3857,3851,125133,3127830,0.03%,0.08%
2023/11/14,10:45:00,3857,3865,3850,3851,3859,104919,3127555,-0.16%,0.08%
2023/11/14,11:15:00,3852,3861,3849,3852,3854,90224,3129664,0.03%,-0.08%
2023/11/14,13:45:00,3852,3852,3836,3844,3844,168388,3140188,-0.21%,-0.52%
2023/11/14,14:15:00,3844,3848,3833,3846,3840,159234,3136741,0.05%,-0.26%
2023/11/14,14:45:00,3846,3856,3843,3853,3850,93689,3118243,0.18%,-0.10%
2023/11/14,21:00:00,3864,3911,3864,3906,3893,501278,3189936,1.38%,1.43%
2023/11/14,21:30:00,3906,3930,3906,3927,3919,299580,3215792,0.54%,1.95%
2023/11/14,22:00:00,3928,3943,3926,3938,3935,270041,3237402,0.28%,2.45%
2023/11/14,22:30:00,3938,3958,3934,3951,3947,206742,3246423,0.33%,2.73%
2023/11/15,9:00:00,3951,3952,3936,3938,3943,186642,3242414,-0.33%,2.21%
