RR,Polymer type,Particle Shape,Concentration,Size,CI,HI,FI,Day
-0.049540859,PS,sphere,0.000000001,0.0562001,1.974081026,0.389464767,0.019802627,1
-0.030263149,PS,sphere,0.000000001,0.0562001,1.974081026,0.389464767,0.019802627,1
-0.090691684,PS,sphere,1.00E-10,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.18113699,PS,sphere,0.000000001,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.186585295,PS,sphere,0.00000001,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.245123587,PS,sphere,0.0000001,0.052922401,1.299282984,0.448024723,0.144581229,1
0.042818142,PS,sphere,1.00E-10,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.133535538,PS,sphere,0.000000001,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.188026696,PS,sphere,0.00000001,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.197359081,PS,sphere,0.0000001,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.044171179,PS,sphere,1.00E-10,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.154154957,PS,sphere,0.000000001,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.036104097,PS,sphere,0.00000001,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.196710655,PS,sphere,0.0000001,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.023669916,PS,sphere,1.00E-10,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.163628556,PS,sphere,0.000000001,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.165792348,PS,sphere,0.00000001,0.052922401,1.299282984,0.448024723,0.144581229,1
-0.287681647,PS,sphere,0.0000001,0.052922401,1.299282984,0.448024723,0.144581229,1
0.020202869,PE,film,0.00005,0,0.353408746,0.019418086,0.010152371,14
-0.031747548,PE,film,0.0005,0,0.353408746,0.019418086,0.010152371,14
-0.108030286,PE,film,0.00005,0,0.353408746,0.019418086,0.010152371,14
-0.091708955,PE,film,0.0005,0,0.353408746,0.019418086,0.010152371,14
-0.34528602,PE,sphere,0.000001,0.170869063,1.791759469,0.519875459,1.203972804,1
-0.265039088,PE,sphere,0.000001,0.170869063,1.791759469,0.519875459,1.203972804,1
-0.065921721,PS,sphere,1.00E-10,0.013958352,1.019362917,0.456758402,0.024692613,1
-0.076182901,PS,sphere,0.000000001,0.013958352,1.019362917,0.456758402,0.024692613,1
-0.075472787,PS,sphere,0.00000001,0.013958352,1.019362917,0.456758402,0.024692613,1
-0.122076514,PS,sphere,0.0000001,0.013958352,1.019362917,0.456758402,0.024692613,1
-0.060088915,PS,sphere,1.00E-10,0.013958352,1.019362917,0.456758402,0.024692613,1
0.032447566,PS,sphere,0.000000001,0.013958352,1.019362917,0.456758402,0.024692613,1
-0.063093545,PS,sphere,0.00000001,0.013958352,1.019362917,0.456758402,0.024692613,1
-0.068612861,PS,sphere,0.0000001,0.013958352,1.019362917,0.456758402,0.024692613,1
-0.008861195,PS,sphere,1.00E-10,0.008915364,1.648658626,1.261131218,0.15415068,10
0.00988651,PS,sphere,0.000000001,0.008915364,1.648658626,1.261131218,0.15415068,10
0.024394956,PS,sphere,0.00000001,0.008915364,1.648658626,1.261131218,0.15415068,10
-0.003499499,PS,sphere,0.0000001,0.008915364,1.648658626,1.261131218,0.15415068,10
-0.024278912,PS,particle,0.00005,0.287257534,3.032546247,0.117783036,0.270874954,7
-0.021666758,PS,particle,0.00005,0.287257534,3.032546247,0.117783036,0.270874954,14
-0.017751593,PS,particle,0.00005,0.287257534,3.032546247,0.117783036,0.270874954,21
-0.018961224,PS,particle,0.00005,0.287257534,3.032546247,0.117783036,0.270874954,28
-0.055969842,PS,sphere,1.00E-10,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.076961041,PS,sphere,0.000000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.084856535,PS,sphere,0.00000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.198321898,PS,sphere,0.0000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.065993369,PS,sphere,1.00E-10,0.068992871,1.364315454,0.107420249,0.626455806,1
0.02449102,PS,sphere,0.000000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.050461155,PS,sphere,0.00000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.095128708,PS,sphere,0.0000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.039220713,PS,sphere,1.00E-10,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.143237727,PS,sphere,0.000000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.131709345,PS,sphere,0.00000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.149836102,PS,sphere,0.0000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.030907537,PS,sphere,1.00E-10,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.031155168,PS,sphere,0.000000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.044997366,PS,sphere,0.00000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.078603859,PS,sphere,0.0000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.03417869,PS,sphere,1.00E-10,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.075508406,PS,sphere,0.000000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.078892066,PS,sphere,0.00000001,0.068992871,1.364315454,0.107420249,0.626455806,1
-0.069441973,PS,sphere,0.0000001,0.068992871,1.364315454,0.107420249,0.626455806,1
0.385993005,PS,sphere,1.00E-10,0.068992871,1.364315454,0.107420249,0.626455806,1
0.517188318,PS,sphere,0.000000001,0.068992871,1.364315454,0.107420249,0.626455806,1
0.282998223,PS,sphere,0.00000001,0.068992871,1.364315454,0.107420249,0.626455806,1
0.240884086,PS,sphere,0.0000001,0.068992871,1.364315454,0.107420249,0.626455806,1
