时间,实际质量值
0,211.787
2,211.753202020202
4,211.773404040404
6,211.793606060606
8,211.8139225589225
10,211.8369865319865
12,211.8600505050505
14,211.8831144781145
16,211.9061784511784
18,211.9292424242424
20,211.9506734006734
22,211.9574074074074
24,211.9641414141414
26,211.9708754208754
28,211.9776094276094
30,211.9843434343434
32,211.9944983164983
34,212.0226127946128
36,212.0507272727273
38,212.0788417508417
40,212.1069562289562
42,212.1350707070707
44,212.1555185185185
46,212.1487845117845
48,212.1420505050505
51,212.1353164983165
53,212.1285824915825
55,212.1218484848485
57,212.1218552188552
59,212.1391952861953
61,212.1565353535354
63,212.1738754208754
65,212.1912154882155
67,212.2085555555556
69,212.2222895622896
71,212.2290235690236
73,212.2357575757576
75,212.2424915824916
77,212.2492255892256
79,212.2559595959596
81,212.2579797979798
83,212.2529292929293
85,212.2478787878788
87,212.2428282828283
89,212.2377777777778
91,212.2327272727273
93,212.239835016835
95,212.2612154882155
97,212.282595959596
99,212.3039764309764
101,212.3253569023569
103,212.3467373737374
105,212.3627777777778
107,212.3738888888889
109,212.385
111,212.3961111111111
113,212.4072222222222
115,212.4183333333333
117,212.4070841750842
119,212.3796430976431
121,212.352202020202
123,212.3247609427609
125,212.2973198653198
127,212.2698787878788
129,212.2721750841751
131,212.2911986531986
133,212.3102222222222
135,212.3292457912458
137,212.3482693602693
139,212.3672929292929
141,212.3840774410774
143,212.3999023569023
145,212.4157272727273
147,212.4315521885522
149,212.4473771043771
152,212.463202020202
154,212.462265993266
156,212.456037037037
158,212.4498080808081
160,212.4435791245791
162,212.4373501683502
164,212.4311212121212
166,212.4676868686869
168,212.5136464646465
170,212.5596060606061
172,212.6055656565657
174,212.6515252525253
176,212.6974848484849
178,212.7188518518519
180,212.7368653198653
182,212.7548787878788
184,212.7728922558923
186,212.7909057239057
188,212.8089191919192
190,212.7815151515152
192,212.7512121212121
194,212.7209090909091
196,212.6906060606061
198,212.660303030303
200,212.63
