Month,Doseheji
2019/1/1,73619
2019/2/1,55240
2019/3/1,90846
2019/4/1,87407
2019/5/1,83858
2019/6/1,79893
2019/7/1,78206
2019/8/1,100430
2019/9/1,90951
2019/10/1,93714
2019/11/1,132525
2019/12/1,147939
2020/1/1,83721
2020/2/1,899
2020/3/1,21867
2020/4/1,104859
2020/5/1,152328
2020/6/1,119727
2020/7/1,140720
2020/8/1,135014
2020/9/1,127784
2020/10/1,127171
2020/11/1,115555
2020/12/1,258777
2021/1/1,154588
2021/2/1,70034
2021/3/1,117534
2021/4/1,91870
2021/5/1,131844
2021/6/1,82718
2021/7/1,139844
2021/8/1,126064
2021/9/1,110286
2021/10/1,121746
2021/11/1,109348
2021/12/1,217655
2022/1/1,139737
2022/2/1,77840
2022/3/1,96046
2022/4/1,139807
2022/5/1,125324
2022/6/1,132183
2022/7/1,145996
2022/8/1,140283
2022/9/1,127626
2022/10/1,121383
2022/11/1,327133
2022/12/1,112173
2023/1/1,68507
2023/2/1,151198
2023/3/1,136415
2023/4/1,127684
2023/5/1,129621
2023/6/1,124574
2023/7/1,129963
2023/8/1,158643
2023/9/1,125075
2023/10/1,167264
2023/11/1,352838
2023/12/1,128282
2024/1/1,
2024/2/1,
2024/3/1,
2024/4/1,
2024/5/1,
2024/6/1,
2024/7/1,
2024/8/1,
2024/9/1,
2024/10/1,
2024/11/1,
2024/12/1,
2025/1/1,
2025/2/1,
2025/3/1,
2025/4/1,
2025/5/1,
2025/6/1,
2025/7/1,
2025/8/1,
2025/9/1,
2025/10/1,
2025/11/1,
2025/12/1,
2026/1/1,
2026/2/1,
2026/3/1,
2026/4/1,
2026/5/1,
2026/6/1,
2026/7/1,
2026/8/1,
2026/9/1,
2026/10/1,
2026/11/1,
2026/12/1,
