中型车流量,数据时间,大车流量,平均车速,监测点id,微型车流量,长车流量,车头距,id,车流量,平均占道率,轻型车流量
0,"	2023-06-25 00:00:00",0,"2.2899999999999999E+001",1001,3,0,0,23870,3,1.0000000000000001E-001,0
3,"	2023-06-24 00:00:00",0,"1.7600000000000001E+001",1001,15,0,0,23869,18,1.0000000000000001E-001,0
1,"	2023-06-23 00:00:00",0,"4.3200000000000003E+001",1001,32,0,0,23868,33,1.0000000000000001E-001,0
0,"	2023-06-22 00:00:00",0,"5.7E+001",1001,22,0,0,23867,22,1.0000000000000001E-001,0
0,"	2023-06-21 00:00:00",0,"5.3200000000000003E+001",1001,18,0,0,23866,18,1.0000000000000001E-001,0
1,"	2023-06-20 00:00:00",0,"3.1800000000000001E+001",1001,13,1,0,23865,15,1.0000000000000001E-001,0
0,"	2023-06-19 00:00:00",0,"3.5E+001",1001,8,0,0,23864,8,1.0000000000000001E-001,0
21,"	2023-06-18 00:00:00",0,"4.1799999999999997E+001",1001,248,6,0,23863,275,5.0E-001,0
12,"	2023-06-17 00:00:00",0,"6.1200000000000003E+001",1001,151,9,0,23862,172,8.0000000000000004E-001,0
29,"	2023-06-16 00:00:00",0,"8.0599999999999994E+001",1001,420,14,0,23861,463,"1.0E+000",0
36,"	2023-06-15 00:00:00",0,"4.2799999999999997E+001",1001,335,15,0,23860,386,8.0000000000000004E-001,0
5,"	2023-06-14 00:00:00",0,"3.65E+001",1001,103,2,0,23859,110,2.9999999999999999E-001,0
1,"	2023-06-13 00:00:00",0,"4.0600000000000001E+001",1001,35,0,0,23858,36,2.0000000000000001E-001,0
0,"	2023-06-12 00:00:00",0,"4.1200000000000003E+001",1001,45,0,0,23857,45,2.9999999999999999E-001,0
0,"	2023-06-11 00:00:00",0,"2.7699999999999999E+001",1001,25,0,0,23856,25,2.0000000000000001E-001,0
11,"	2023-06-10 00:00:00",0,"4.5200000000000003E+001",1001,65,1,0,23855,77,2.9999999999999999E-001,0
12,"	2023-06-09 00:00:00",0,"5.6600000000000001E+001",1001,95,0,0,23854,107,4.0000000000000002E-001,0
6,"	2023-06-08 00:00:00",0,"4.9E+001",1001,78,2,0,23853,86,4.0000000000000002E-001,0
6,"	2023-06-07 00:00:00",0,"4.0799999999999997E+001",1001,38,0,0,23852,44,2.0000000000000001E-001,0
