日期,开盘,最高,最低,收盘,平均价,成交量,持仓量,价差(收)
2020/2/13,3956.6,3978.4,3930.6,3944,3946.4,97761,139538,59.12
2020/2/14,3939.6,3992,3939.2,3976,3965.2,106946,143846,48.53
2020/2/17,3992,4080.4,3988.6,4079.4,4071.2,120531,142428,32.42
2020/2/18,4066,4074.2,4022.4,4042.2,4043,109200,135126,48.51
2020/2/19,4043.4,4076.2,4034,4046.2,4045.4,110055,137910,48.31
2020/2/20,4060.6,4151,4046,4132.6,4130.8,137388,146810,55.26
2020/2/21,4124.2,4185.2,4124.2,4152.8,4147.8,124427,134573,41.29
2020/2/24,4129,4145.8,4087.4,4114.6,4127.4,119184,143520,59.84
2020/2/25,4083.4,4122.6,4020.4,4111.8,4104.8,143835,147035,53.85
2020/2/26,4069.4,4117.4,4047,4070.2,4074.2,138790,144598,45.22
2020/2/27,4082.8,4102.2,4065.4,4072.4,4072.4,108283,137941,53.88
2020/2/28,3994.8,4020.8,3900.2,3917.2,3931,154924,148875,66.25
2020/3/2,3959,4087.8,3958.2,4050.2,4067,139601,143968,61.47
2020/3/3,4112.8,4140.8,4053.8,4065.8,4069,131471,143477,67.56
2020/3/4,4066.6,4098.2,4047.8,4097.8,4081,116736,139409,63.45
2020/3/5,4135.6,4203,4108,4184.4,4187,139013,151640,70.33
2020/3/6,4150.6,4161.4,4111.2,4111.4,4123.8,114307,137498,76.71
2020/3/9,4042.2,4042.2,3952.2,3966.2,3976.6,138671,148476,90.53
2020/3/10,3997.8,4084,3939.8,4062.6,4062.8,169209,151011,72.73
2020/3/11,4060.8,4068.4,3990,3990.2,4007.2,126855,146824,93.43
2020/3/12,3943.2,3952,3884.4,3935.4,3919.2,140801,149811,73.11
2020/3/13,3745,3915.4,3701.8,3881.6,3857,180183,160969,71.51
2020/3/16,3864.2,3864.2,3670.6,3670.8,3696.2,160914,155417,126.64
2020/3/17,3766,3771.2,3591.2,3664.6,3665,197832,173007,101.28
2020/3/18,3683.8,3743.4,3567,3579,3605.2,197928,163969,128.86
2020/3/19,3609.8,3626.4,3446.8,3549,3548.4,229324,177298,113.49
2020/3/20,3607.6,3621,3532.8,3607.4,3599,184093,149520,117.42
2020/3/23,3491,3545.4,3458.6,3490,3496.4,146211,152858,108.31
2020/3/24,3573.6,3601.4,3509.4,3580.4,3578.2,168052,157811,119.11
2020/3/25,3660,3693.2,3634.4,3668,3678.6,154166,152697,129.72
2020/3/26,3640.2,3682,3635,3641.2,3650,129154,148655,138.85
2020/3/27,3686.2,3719,3657.6,3658,3674.2,148655,154347,138.06
2020/3/30,3622.8,3654.2,3595.2,3639.2,3633.4,132664,146903,118.71
2020/3/31,3675,3680.2,3628.2,3630.4,3638.6,122499,147983,132.36
2020/4/1,3638,3692.8,3619.6,3627,3628.8,137460,155187,126.88
2020/4/2,3622,3705.6,3614.4,3704.6,3680.4,141450,154038,108.73
2020/4/3,3692.4,3697,3652.8,3672.8,3668.2,113246,147565,111.62
2020/4/7,3748.2,3770.8,3741.8,3753.2,3759.6,117045,150035,118.22
2020/4/8,3743.2,3753.8,3725.2,3740.6,3737,102491,146986,112.34
2020/4/9,3760.4,3764,3743.4,3751.2,3753.4,91168,141804,117.81
2020/4/10,3753.4,3780.6,3715.2,3735.4,3730.4,126519,157238,112.78
2020/4/13,3717.8,3729.2,3705,3711.4,3712,87802,140955,122.26
2020/4/14,3735,3773.8,3725.4,3773.8,3764.4,109947,152374,142.3
2020/4/15,3770.2,3781.8,3747.8,3748.8,3752.4,103011,140439,131.56
2020/4/16,3737,3760.8,3730,3752.6,3752,118731,143248,130.38
2020/4/17,3787.4,3809.6,3769,3772.8,3781.4,137644,148113,150.49
2020/4/20,3774.6,3782.8,3759.4,3779.4,3778.2,81375,136814,175.66
2020/4/21,3769.6,3769.6,3699.6,3734.2,3729,110002,151426,182.45
2020/4/22,3714,3770.6,3711.6,3769.6,3756.4,104296,143423,189.98
2020/4/23,3778.2,3780.6,3741.6,3755.6,3755.2,90655,145992,198.15
2020/4/24,3745.6,3749.4,3727.4,3741.6,3735.4,87582,139325,173.57
2020/4/27,3750.8,3792,3741,3764.4,3765.4,98974,150876,174.37
2020/4/28,3776.8,3802.6,3713.4,3787.6,3789.2,123001,156091,175.35
2020/4/29,3789,3817.6,3782,3807,3802.2,86378,143651,174.43
2020/4/30,3824.6,3882.6,3824.4,3878,3871.6,106329,147599,136.18
2020/5/6,3837.6,3894.8,3830.6,3887.4,3884.8,94278,144082,150.85
2020/5/7,3888.2,3889.4,3862,3877,3878.2,77798,140715,154.49
2020/5/8,3896.8,3939,3892.2,3917.8,3921,99871,146034,151.62
2020/5/11,3933.8,3959,3904.8,3912,3913.6,92435,140567,151.58
2020/5/12,3917.8,3930.4,3886,3906.2,3906,97109,138510,169.84
2020/5/13,3890.8,3917.6,3880.6,3911.6,3911.6,97814,133700,168.45
2020/5/14,3895.2,3895.2,3862.2,3871.2,3868.6,104290,132453,163.22
2020/5/15,3888.2,3893.2,3845.2,3845.2,3852,106460,129744,171.82
2020/5/18,3851.2,3887.4,3837,3859.6,3869.6,97343,133150,172.91
2020/5/19,3896.6,3909,3879.4,3889.6,3889,76065,126810,173.25
2020/5/20,3892.8,3893.2,3868.6,3876,3874.2,71682,129836,165.62
2020/5/21,3886.6,3890,3845.2,3847.2,3853.8,75686,132182,169.99
2020/5/22,3838.4,3842.4,3756.4,3761.6,3772.2,107278,148197,153.86
2020/5/25,3772.4,3778,3747,3768.4,3765,85727,134521,153.72
2020/5/26,3788.8,3806.4,3784.6,3804,3800,76013,135207,162.97
2020/5/27,3801.2,3801.6,3772,3785.2,3778.8,72402,135819,159.21
2020/5/28,3785.8,3828.8,3751.6,3791.2,3789.4,117630,156052,165.63
2020/5/29,3771,3811,3766.2,3792,3790.6,88036,138484,179.62
2020/6/1,3839.8,3917.8,3839.8,3909.8,3907.2,105857,148416,164.74
2020/6/2,3911.2,3932.4,3902.4,3923.4,3923,78673,135932,168.57
2020/6/3,3945.6,3965.4,3918.6,3918.8,3929,90798,142916,171.65
2020/6/4,3936.4,3939.6,3906.8,3918,3919,72810,134138,169.19
2020/6/5,3926.6,3944,3903.6,3943.8,3935,78053,140333,168.45
2020/6/8,3959.4,3986.8,3943.6,3953.2,3950.2,90924,143623,180.35
2020/6/9,3956.8,3982.2,3948.2,3974,3973.4,91836,144972,190.63
2020/6/10,3977.6,3977.6,3952.4,3966.6,3963.4,79037,137150,195.51
2020/6/11,3959.2,3972,3899.6,3916.8,3912.8,112939,154801,208.28
2020/6/12,3888.4,3946,3871,3932,3930.8,114801,150220,206.48
2020/6/15,3912.8,3925.4,3865.6,3867.4,3877.4,112080,152073,224.99
2020/6/16,3914,3939.8,3907,3935.4,3932.2,107942,146704,211.57
2020/6/17,3933.4,3936,3908.8,3933.8,3929.6,94788,145929,208.59
2020/6/18,3924.2,3972.8,3918.4,3971,3964.2,123336,156273,178.18
2020/6/19,3975.8,4050.8,3973,4028.4,4035.5,134326,155171,135.51
2020/6/22,4030,4073.4,4023,4036,4034.2,105303,153366,110.45
2020/6/23,4016.4,4055,4008.8,4050.8,4046.8,98647,155658,134.39
2020/6/24,4064.2,4086.6,4056.8,4086.4,4077,84356,149283,111.39
2020/6/29,4074.4,4083.8,4028.8,4053.4,4041,91772,155038,121.92
2020/6/30,4074,4123.2,4074,4095.2,4093,101466,151525,134.76
2020/7/1,4109.8,4196.4,4106,4190.4,4173,129800,166742,127.58
2020/7/2,4191.2,4314.4,4187.8,4302.2,4292.6,156025,172013,86.04
2020/7/3,4325.6,4396.4,4313.8,4389.2,4366.4,155403,174449,69
2020/7/6,4443.2,4757.6,4443.2,4733.2,4707.8,216255,189906,-60.91
2020/7/7,4789.4,4823.4,4695.2,4704,4735.4,205604,187500,10.13
2020/7/8,4726.4,4793,4687.2,4746.8,4754.4,175161,189777,53
2020/7/9,4745.8,4828.8,4729.6,4821.8,4798.2,172688,187448,43.17
2020/7/10,4788.8,4806.2,4710.6,4735.8,4746.8,167528,188993,31.13
2020/7/13,4750.8,4871,4733.4,4821.8,4824.4,179067,192305,60.96
2020/7/14,4804.2,4834.4,4694.4,4771.4,4756.2,186414,188249,71.69
2020/7/15,4807.6,4823.8,4697.8,4715.2,4750,197942,195305,61.47
2020/7/16,4726.2,4761.2,4462.4,4476.6,4518.6,265788,199062,78.25
2020/7/17,4515,4569.8,4469.4,4511.6,4513.6,205916,184773,71.1
