日期,开盘（沪深300现货）,最高,最低,收盘,平均价,成交量（沪深300期货）,持仓量,沪深300现货日度成交额（百万）,K值,D值,MACD值,五日均线（收盘价）（收盘价）,十日均线（收盘价）（收盘价）,三十日均线（收盘价）,MV(五日现货成交额平均）,基差（现货-隔季）,ATR指标,BIAS乖离率,布林轨道上轨,布林轨道下轨,SAR指标,M1动量指标(20日）,现货历史波动率VIX,现货收益率,现货偏度（20日）,现货峰度（20日）
2010-04-16,3388.29 ,3388.29 ,3348.78 ,3356.33 ,3370.42 ,4714036800,4714036800,67235.6,50.67,59.07,1.2475,3379.562,3382.317,3316.96,93832.07,-200.67,56.7125,-0.69,3453.27,3240.61,3413,43.90759225,0.16401504,-0.011265626,-0.761842776,-0.520306082
2010-04-19,3313.50 ,3313.50 ,3175.44 ,3176.42 ,3244.72 ,8841630000,8841630000,118855.97,33.92,50.68,-26.559,3344.55,3359.224,3314.182,96403.9425,-143.58,61.35165,-5.03,3470.26,3211.88,3411,35.40196264,0.256723001,-0.053602862,-1.164346618,0.730786244
2010-04-20,3176.41 ,3196.65 ,3130.96 ,3173.37 ,3169.35 ,6413785900,6413785900,88005.97,27.63,43,-43.393,3300.88,3336.046,3310.421667,90717.0677,-179.63,61.49665,-3.86,3483.34,3185.87,3402,28.5219145,0.256208249,-0.000959885,-1.13493074,0.203891753
2010-04-21,3178.88 ,3237.54 ,3164.77 ,3236.68 ,3204.47 ,6692833100,6692833100,93373.38,30.91,38.97,-43.8986,3267.474,3321.019,3308.115667,91234.2296,-172.32,65.01555,-0.94,3485.61,3179.72,3385,25.09631878,0.266237382,0.019948799,-1.054933014,-0.160593068
2010-04-22,3222.68 ,3231.99 ,3177.73 ,3201.54 ,3208.49 ,7108168800,7108168800,98970.39,28.95,35.63,-46.6089,3228.868,3306.499,3305.510667,93288.2597,-185.86,67.00105,-0.85,3491.05,3166.76,3370,22.46215284,0.268698693,-0.010856189,-0.958860466,-0.624227164
2010-04-23,3198.78 ,3224.74 ,3172.58 ,3190.00 ,3196.53 ,6125267900,6125267900,92115.67,26.28,32.51,-47.4405,3195.602,3287.582,3302.620333,98264.2744,-195,67.23065,-0.18,3495,3158.9,3356,17.0890952,0.264191291,-0.00360389,-0.949931873,-0.730755776
2010-04-26,3195.46 ,3207.72 ,3168.37 ,3172.00 ,3185.89 ,5089419900,5089419900,74959.12,22.37,29.13,-47.7675,3194.718,3269.634,3300.582667,89484.9042,-218.4,65.958,-0.71,3502.4,3141.2,3342,6.907490438,0.258851454,-0.005644509,-0.859382192,-1.084207223
2010-04-27,3163.10 ,3163.10 ,3060.85 ,3108.41 ,3123.87 ,6529657400,6529657400,88058.36,19.42,25.89,-53.4711,3181.726,3241.303,3298.090333,89495.3831,-229.79,63.9198,-2.3,3512.42,3106.17,3332,-6.352834084,0.246441396,-0.020046677,-0.736534321,-1.171881737
2010-04-28,3080.32 ,3122.12 ,3062.09 ,3097.35 ,3090.47 ,4599540600,4599540600,65484.93,16.66,22.82,-55.419,3153.86,3210.667,3294.536333,83917.6925,-242.45,63.05315,-1.79,3517.77,3073.88,3310,-18.44789238,0.245325455,-0.003556804,-0.573481049,-1.387852143
2010-04-29,3114.94 ,3130.70 ,3059.80 ,3060.06 ,3091.38 ,4826097100,4826097100,69250.87,11.14,18.92,-58.1324,3125.564,3177.216,3287.407667,77973.7889,-238.14,65.04035,-2.1,3525.64,3037.45,3290,-34.11904776,0.246858881,-0.012038989,-0.464821497,-1.446388342
